Date,Open,High,Low,Close,Adj_Close,Volume,Day
2019-08-27,14.8125,14.89,14.25,14.4225,14.164862,77289600,1492
2019-08-28,14.2775,14.6425,14.0625,14.5675,14.307272,63912400,1493
2019-08-29,15.105,15.3575,14.935,15.23,14.957937,70761600,1494
2019-08-30,15.48,15.4825,14.865,15.1225,14.852358,68051600,1495
2019-09-03,14.8225,15.045,14.5275,14.6825,14.420218,64392800,1496
2019-09-04,15.095,15.3425,14.98,15.3,15.026687,50232400,1497
2019-09-05,15.805,16.2775,15.78,16.145,15.856592,63372000,1498
2019-09-06,16.2125,16.24,15.99,16.1,15.812396,57519200,1499
2019-09-09,16.2425,16.2675,15.7425,15.9975,15.711727,56156400,1500
2019-09-10,15.735,15.87,15.42,15.865,15.581594,68382800,1501
2019-09-11,15.9375,16.3225,15.8325,16.2925,16.001459,55700400,1502
2019-09-12,16.594999,16.870001,16.422501,16.495001,16.200342,69965600,1503
2019-09-13,16.424999,16.535,16.25,16.32,16.028465,53805200,1504
